Country,Education,Experience,Age,Salary
Australia,Post grad,8.0,45-54 years old,83512.0
India,Master’s degree,6.0,25-34 years old,33504.0
Germany,Post grad,9.0,25-34 years old,48648.0
India,Bachelor’s degree,36.0,55-64 years old,55847.0
France,Post grad,27.0,45-54 years old,86478.0
Spain,Post grad,4.0,25-34 years old,36753.0
Switzerland,Bachelor’s degree,3.0,25-34 years old,65055.0
Germany,Post grad,7.0,25-34 years old,60535.0
Germany,Master’s degree,8.0,25-34 years old,87559.0
Italy,Master’s degree,2.0,25-34 years old,24863.0
United Kingdom,Bachelor’s degree,3.0,25-34 years old,38778.0
Switzerland,Master’s degree,6.0,25-34 years old,254122.0
Italy,Master’s degree,1.0,25-34 years old,22701.0
France,Post grad,14.0,35-44 years old,39996.0
Netherlands,Master’s degree,3.0,25-34 years old,49296.0
Poland,Master’s degree,7.0,25-34 years old,81074.0
United Kingdom,Post grad,10.0,35-44 years old,103408.0
United States,Master’s degree,11.0,35-44 years old,120000.0
France,Post grad,6.0,25-34 years old,39108.0
Spain,Bachelor’s degree,13.0,35-44 years old,48644.0
Poland,Master’s degree,21.0,35-44 years old,75936.0
Switzerland,Master’s degree,10.0,25-34 years old,152473.0
Spain,Master’s degree,2.0,25-34 years old,30267.0
Canada,Post grad,8.0,35-44 years old,196641.0
Italy,Master’s degree,2.0,25-34 years old,27025.0
Spain,Bachelor’s degree,3.0,25-34 years old,32429.0
Netherlands,Master’s degree,4.0,18-24 years old,42288.0
United Kingdom,Bachelor’s degree,10.0,25-34 years old,86604.0
Switzerland,Bachelor’s degree,10.0,25-34 years old,100020.0
Germany,Master’s degree,3.0,25-34 years old,71340.0
United Kingdom,Master’s degree,5.0,25-34 years old,52996.0
France,Master’s degree,2.0,25-34 years old,32429.0
United Kingdom,Less than a Bachelors,4.0,25-34 years old,21328.0
Italy,Master’s degree,7.0,35-44 years old,48644.0
France,Master’s degree,1.0,25-34 years old,34591.0
Italy,Master’s degree,2.0,25-34 years old,21620.0
Spain,Master’s degree,5.0,25-34 years old,37834.0
Spain,Master’s degree,8.0,35-44 years old,97288.0
Germany,Less than a Bachelors,15.0,35-44 years old,63564.0
India,Master’s degree,11.0,35-44 years old,26527.0
United Kingdom,Bachelor’s degree,15.0,35-44 years old,71093.0
United Kingdom,Master’s degree,6.0,35-44 years old,49119.0
Spain,Less than a Bachelors,4.0,25-34 years old,48644.0
India,Bachelor’s degree,10.0,25-34 years old,25131.0
United Kingdom,Bachelor’s degree,2.0,25-34 years old,41363.0
Italy,Bachelor’s degree,5.0,18-24 years old,51888.0
Poland,Bachelor’s degree,6.0,25-34 years old,36444.0
India,Master’s degree,3.0,25-34 years old,48866.0
India,Bachelor’s degree,2.0,18-24 years old,16754.0
India,Master’s degree,3.0,25-34 years old,12801.0
Poland,Master’s degree,5.0,25-34 years old,40500.0
Netherlands,Master’s degree,5.0,25-34 years old,54480.0
France,Master’s degree,0.5,18-24 years old,37834.0
Germany,Master’s degree,4.0,25-34 years old,52500.0
Germany,Less than a Bachelors,5.0,35-44 years old,38916.0
United Kingdom,Less than a Bachelors,1.0,18-24 years old,31022.0
Italy,Post grad,10.0,35-44 years old,59454.0
Poland,Master’s degree,0.5,25-34 years old,13300.0
France,Less than a Bachelors,1.0,18-24 years old,20760.0
India,Bachelor’s degree,3.0,18-24 years old,175920.0
Italy,Master’s degree,2.0,25-34 years old,24648.0
Spain,Master’s degree,9.0,35-44 years old,57292.0
Netherlands,Master’s degree,3.0,25-34 years old,31128.0
Germany,Post grad,10.0,35-44 years old,47352.0
Italy,Less than a Bachelors,5.0,25-34 years old,24648.0
India,Master’s degree,5.0,25-34 years old,50268.0
United Kingdom,Post grad,14.0,35-44 years old,43948.0
Germany,Master’s degree,2.0,25-34 years old,62697.0
United Kingdom,Less than a Bachelors,25.0,45-54 years old,85308.0
Germany,Post grad,13.0,35-44 years old,86478.0
France,Post grad,3.0,35-44 years old,32429.0
India,Bachelor’s degree,6.0,25-34 years old,20943.0
Netherlands,Post grad,11.0,25-34 years old,172957.0
Switzerland,Post grad,3.0,Prefer not to say,115272.0
Poland,Bachelor’s degree,3.0,25-34 years old,23688.0
France,Master’s degree,1.0,18-24 years old,51228.0
Poland,Master’s degree,5.0,25-34 years old,30372.0
United States,Master’s degree,12.0,35-44 years old,92000.0
Germany,Master’s degree,20.0,35-44 years old,51888.0
Italy,Less than a Bachelors,4.0,18-24 years old,38915.0
United Kingdom,Bachelor’s degree,2.0,25-34 years old,51704.0
Germany,Master’s degree,4.0,25-34 years old,57072.0
Poland,Master’s degree,2.0,25-34 years old,27336.0
United Kingdom,Master’s degree,3.0,25-34 years old,37485.0
Australia,Bachelor’s degree,20.0,35-44 years old,134287.0
Germany,Master’s degree,3.0,25-34 years old,48644.0
Poland,Master’s degree,3.0,25-34 years old,27336.0
United Kingdom,Master’s degree,3.0,25-34 years old,43686.0
Poland,Bachelor’s degree,4.0,25-34 years old,23088.0
United Kingdom,Master’s degree,5.0,25-34 years old,180963.0
Spain,Master’s degree,4.0,18-24 years old,26030.0
United States,Master’s degree,18.0,35-44 years old,150000.0
Germany,Post grad,12.0,35-44 years old,83016.0
Canada,Post grad,10.0,45-54 years old,41597.0
France,Post grad,4.0,25-34 years old,36972.0
India,Master’s degree,17.0,35-44 years old,144000.0
United Kingdom,Master’s degree,20.0,45-54 years old,52996.0
India,Master’s degree,6.0,25-34 years old,41885.0
Italy,Master’s degree,3.0,25-34 years old,46482.0
Switzerland,Master’s degree,42.0,55-64 years old,180000.0
Spain,Master’s degree,7.0,25-34 years old,43239.0
United Kingdom,Post grad,18.0,35-44 years old,64630.0
Germany,Master’s degree,3.0,25-34 years old,85397.0
United Kingdom,Post grad,4.0,25-34 years old,21328.0
United Kingdom,Master’s degree,0.5,18-24 years old,98237.0
Poland,Master’s degree,5.0,45-54 years old,15192.0
Germany,Less than a Bachelors,20.0,45-54 years old,64860.0
United States,Master’s degree,20.0,45-54 years old,275000.0
Germany,Post grad,5.0,25-34 years old,74588.0
India,Bachelor’s degree,6.0,25-34 years old,20943.0
Spain,Master’s degree,4.0,25-34 years old,37834.0
United Kingdom,Bachelor’s degree,24.0,45-54 years old,21720.0
Germany,Less than a Bachelors,12.0,25-34 years old,51887.0
Brazil,Post grad,15.0,35-44 years old,54972.0
Germany,Master’s degree,3.0,25-34 years old,69183.0
Italy,Master’s degree,2.0,35-44 years old,43239.0
United States,Less than a Bachelors,36.0,55-64 years old,115000.0
India,Bachelor’s degree,2.0,18-24 years old,30156.0
United Kingdom,Master’s degree,2.0,25-34 years old,36193.0
France,Master’s degree,5.0,25-34 years old,44536.0
Netherlands,Bachelor’s degree,5.0,25-34 years old,79993.0
United Kingdom,Master’s degree,27.0,45-54 years old,103408.0
United States,Master’s degree,6.0,25-34 years old,110000.0
India,Bachelor’s degree,3.0,25-34 years old,15358.0
Italy,Master’s degree,8.0,35-44 years old,34591.0
Germany,Master’s degree,5.0,25-34 years old,56880.0
Brazil,Post grad,28.0,45-54 years old,21996.0
France,Bachelor’s degree,26.0,45-54 years old,97288.0
Brazil,Less than a Bachelors,9.0,25-34 years old,38484.0
Brazil,Post grad,11.0,25-34 years old,35184.0
Germany,Post grad,4.0,25-34 years old,68102.0
Netherlands,Bachelor’s degree,13.0,35-44 years old,54480.0
United States,Master’s degree,10.0,25-34 years old,42000.0
Italy,Bachelor’s degree,3.0,25-34 years old,15564.0
Canada,Less than a Bachelors,17.0,35-44 years old,68068.0
Italy,Less than a Bachelors,6.0,25-34 years old,43239.0
United States,Master’s degree,16.0,35-44 years old,97000.0
United Kingdom,Less than a Bachelors,4.0,25-34 years old,38778.0
United States,Master’s degree,18.0,35-44 years old,140000.0
Netherlands,Master’s degree,0.5,25-34 years old,38916.0
United States,Bachelor’s degree,2.0,35-44 years old,65000.0
United Kingdom,Post grad,5.0,25-34 years old,45241.0
United States,Bachelor’s degree,6.0,25-34 years old,300000.0
United Kingdom,Master’s degree,8.0,35-44 years old,89189.0
United States,Less than a Bachelors,13.0,35-44 years old,112000.0
United States,Post grad,30.0,55-64 years old,100000.0
United States,Master’s degree,32.0,55-64 years old,95000.0
Poland,Master’s degree,2.0,25-34 years old,12144.0
United States,Bachelor’s degree,20.0,45-54 years old,60000.0
Brazil,Bachelor’s degree,2.0,25-34 years old,15120.0
United States,Bachelor’s degree,2.0,25-34 years old,55000.0
United States,Bachelor’s degree,9.0,25-34 years old,160000.0
Canada,Bachelor’s degree,19.0,35-44 years old,73362.0
India,Bachelor’s degree,5.0,25-34 years old,18432.0
United Kingdom,Master’s degree,30.0,55-64 years old,77556.0
Poland,Post grad,5.0,25-34 years old,19740.0
United Kingdom,Post grad,23.0,35-44 years old,77556.0
United States,Post grad,3.0,35-44 years old,125000.0
United States,Master’s degree,32.0,55-64 years old,125000.0
Brazil,Bachelor’s degree,17.0,35-44 years old,20064.0
United States,Post grad,4.0,25-34 years old,90000.0
France,Post grad,4.0,25-34 years old,22056.0
Switzerland,Master’s degree,5.0,25-34 years old,101649.0
Australia,Less than a Bachelors,35.0,45-54 years old,72823.0
United States,Master’s degree,8.0,25-34 years old,123600.0
Germany,Master’s degree,4.0,25-34 years old,58368.0
Poland,Master’s degree,11.0,25-34 years old,65604.0
Canada,Less than a Bachelors,3.0,35-44 years old,34034.0
Spain,Master’s degree,12.0,35-44 years old,48644.0
India,Master’s degree,3.0,25-34 years old,20244.0
Netherlands,Bachelor’s degree,1.0,18-24 years old,24900.0
Brazil,Less than a Bachelors,2.0,25-34 years old,12372.0
Germany,Post grad,11.0,35-44 years old,51888.0
Netherlands,Master’s degree,22.0,35-44 years old,63444.0
United Kingdom,Less than a Bachelors,8.0,25-34 years old,38778.0
Australia,Less than a Bachelors,7.0,25-34 years old,63469.0
Germany,Master’s degree,10.0,25-34 years old,70264.0
United States,Bachelor’s degree,7.0,35-44 years old,85000.0
United States,Bachelor’s degree,4.0,25-34 years old,64000.0
United States,Less than a Bachelors,10.0,25-34 years old,150000.0
United Kingdom,Bachelor’s degree,24.0,35-44 years old,62045.0
Netherlands,Bachelor’s degree,15.0,45-54 years old,51888.0
Canada,Bachelor’s degree,6.0,25-34 years old,69581.0
United States,Less than a Bachelors,21.0,35-44 years old,125000.0
India,Master’s degree,12.0,35-44 years old,69809.0
United States,Master’s degree,14.0,45-54 years old,200000.0
United Kingdom,Less than a Bachelors,3.0,25-34 years old,38778.0
Germany,Master’s degree,5.0,25-34 years old,59454.0
United States,Bachelor’s degree,5.0,25-34 years old,230000.0
United States,Bachelor’s degree,5.0,25-34 years old,70000.0
Brazil,Post grad,23.0,45-54 years old,19236.0
Germany,Less than a Bachelors,3.0,18-24 years old,12972.0
United States,Master’s degree,30.0,55-64 years old,72000.0
France,Master’s degree,2.0,25-34 years old,43239.0
United States,Bachelor’s degree,6.0,25-34 years old,77000.0
United States,Post grad,8.0,25-34 years old,180000.0
Italy,Post grad,6.0,35-44 years old,64859.0
Spain,Master’s degree,3.0,25-34 years old,26484.0
United States,Master’s degree,17.0,35-44 years old,205000.0
Switzerland,Post grad,10.0,45-54 years old,60984.0
United States,Less than a Bachelors,5.0,35-44 years old,50000.0
Spain,Master’s degree,5.0,18-24 years old,19452.0
Poland,Bachelor’s degree,3.0,18-24 years old,24300.0
India,Bachelor’s degree,17.0,35-44 years old,43200.0
India,Bachelor’s degree,6.0,25-34 years old,23735.0
United States,Master’s degree,2.0,25-34 years old,100000.0
Italy,Master’s degree,3.0,25-34 years old,35672.0
United States,Less than a Bachelors,41.0,55-64 years old,146160.0
United States,Master’s degree,1.0,45-54 years old,96000.0
Spain,Bachelor’s degree,4.0,25-34 years old,43239.0
Spain,Master’s degree,3.0,25-34 years old,34591.0
United States,Master’s degree,1.0,25-34 years old,75000.0
India,Bachelor’s degree,6.0,25-34 years old,26527.0
United Kingdom,Master’s degree,7.0,25-34 years old,66927.0
United Kingdom,Bachelor’s degree,3.0,18-24 years old,45240.0
United States,Bachelor’s degree,8.0,25-34 years old,130000.0
India,Bachelor’s degree,15.0,35-44 years old,33504.0
United States,Post grad,11.0,25-34 years old,218000.0
Poland,Bachelor’s degree,3.0,25-34 years old,22776.0
United States,Bachelor’s degree,19.0,35-44 years old,102000.0
United States,Bachelor’s degree,25.0,45-54 years old,140000.0
United States,Master’s degree,3.0,25-34 years old,110000.0
India,Bachelor’s degree,5.0,25-34 years old,22339.0
Poland,Less than a Bachelors,1.0,Under 18 years old,10932.0
United Kingdom,Master’s degree,12.0,45-54 years old,84019.0
Italy,Master’s degree,4.0,35-44 years old,47563.0
United States,Less than a Bachelors,21.0,35-44 years old,115000.0
France,Master’s degree,5.0,25-34 years old,64859.0
United Kingdom,Less than a Bachelors,34.0,55-64 years old,52886.0
Canada,Bachelor’s degree,3.0,25-34 years old,76388.0
United States,Bachelor’s degree,12.0,35-44 years old,100000.0
Poland,Master’s degree,6.0,25-34 years old,31896.0
United Kingdom,Post grad,5.0,35-44 years old,63596.0
India,Bachelor’s degree,4.0,18-24 years old,33508.0
United States,Master’s degree,5.0,35-44 years old,110000.0
Switzerland,Master’s degree,2.0,25-34 years old,106731.0
United States,Bachelor’s degree,27.0,45-54 years old,225000.0
United States,Bachelor’s degree,20.0,35-44 years old,208125.0
United States,Bachelor’s degree,2.0,18-24 years old,64000.0
Canada,Bachelor’s degree,4.0,25-34 years old,60505.0
Italy,Master’s degree,2.0,25-34 years old,22056.0
United States,Less than a Bachelors,2.0,25-34 years old,90000.0
United Kingdom,Master’s degree,5.0,25-34 years old,78848.0
United States,Less than a Bachelors,9.0,35-44 years old,210000.0
United States,Less than a Bachelors,2.0,18-24 years old,105000.0
United States,Less than a Bachelors,26.0,45-54 years old,80000.0
United States,Bachelor’s degree,3.0,35-44 years old,80000.0
Spain,Post grad,25.0,35-44 years old,50806.0
Spain,Bachelor’s degree,3.0,18-24 years old,291864.0
India,Master’s degree,4.0,18-24 years old,25128.0
United States,Master’s degree,3.0,25-34 years old,98000.0
United States,Master’s degree,13.0,35-44 years old,200000.0
United States,Bachelor’s degree,25.0,45-54 years old,95000.0
Germany,Master’s degree,15.0,35-44 years old,97288.0
United States,Bachelor’s degree,2.0,18-24 years old,53000.0
Spain,Master’s degree,40.0,55-64 years old,54049.0
Poland,Post grad,9.0,35-44 years old,24300.0
Poland,Master’s degree,10.0,25-34 years old,88594.0
United States,Less than a Bachelors,32.0,45-54 years old,147000.0
United States,Bachelor’s degree,2.0,35-44 years old,89000.0
India,Master’s degree,3.0,25-34 years old,11169.0
United States,Bachelor’s degree,3.0,25-34 years old,120000.0
United States,Bachelor’s degree,21.0,35-44 years old,140000.0
United States,Master’s degree,20.0,45-54 years old,100000.0
United States,Bachelor’s degree,10.0,25-34 years old,99000.0
United States,Less than a Bachelors,10.0,25-34 years old,20000.0
United States,Master’s degree,3.0,25-34 years old,144000.0
United Kingdom,Master’s degree,2.0,18-24 years old,58167.0
United States,Bachelor’s degree,10.0,25-34 years old,135000.0
Germany,Post grad,4.0,25-34 years old,62697.0
Italy,Less than a Bachelors,28.0,45-54 years old,49725.0
United States,Master’s degree,24.0,35-44 years old,180000.0
Canada,Less than a Bachelors,12.0,25-34 years old,61261.0
United States,Less than a Bachelors,15.0,35-44 years old,130000.0
United Kingdom,Bachelor’s degree,15.0,35-44 years old,100176.0
Spain,Master’s degree,8.0,25-34 years old,49725.0
Italy,Master’s degree,6.0,35-44 years old,45401.0
United States,Bachelor’s degree,23.0,35-44 years old,130000.0
United States,Post grad,14.0,35-44 years old,115000.0
United Kingdom,Post grad,2.0,25-34 years old,31020.0
United Kingdom,Master’s degree,15.0,25-34 years old,219741.0
United States,Post grad,2.0,35-44 years old,107000.0
Spain,Post grad,19.0,35-44 years old,35672.0
United States,Master’s degree,33.0,45-54 years old,140000.0
Switzerland,Master’s degree,5.0,25-34 years old,145358.0
Germany,Less than a Bachelors,27.0,45-54 years old,39564.0
United States,Bachelor’s degree,44.0,55-64 years old,111000.0
United States,Bachelor’s degree,10.0,25-34 years old,135000.0
Netherlands,Master’s degree,16.0,35-44 years old,97288.0
Germany,Bachelor’s degree,40.0,55-64 years old,227006.0
Netherlands,Master’s degree,8.0,25-34 years old,33732.0
United States,Post grad,15.0,35-44 years old,150000.0
United States,Less than a Bachelors,24.0,45-54 years old,50000.0
India,Bachelor’s degree,2.0,25-34 years old,29320.0
United States,Bachelor’s degree,3.0,25-34 years old,88000.0
Canada,Master’s degree,5.0,25-34 years old,13600.0
United States,Master’s degree,2.0,45-54 years old,123500.0
Brazil,Master’s degree,1.0,18-24 years old,24744.0
United Kingdom,Less than a Bachelors,20.0,45-54 years old,84019.0
Brazil,Master’s degree,13.0,35-44 years old,71472.0
United States,Less than a Bachelors,22.0,45-54 years old,38000.0
Canada,Bachelor’s degree,2.0,18-24 years old,55211.0
United States,Bachelor’s degree,2.0,18-24 years old,135000.0
United States,Bachelor’s degree,8.0,25-34 years old,87500.0
United States,Master’s degree,8.0,25-34 years old,210000.0
United States,Less than a Bachelors,20.0,45-54 years old,85000.0
United States,Master’s degree,4.0,25-34 years old,200000.0
United Kingdom,Master’s degree,4.0,25-34 years old,31020.0
Canada,Master’s degree,3.0,25-34 years old,75631.0
Brazil,Master’s degree,12.0,35-44 years old,24744.0
United States,Less than a Bachelors,10.0,35-44 years old,140000.0
Canada,Bachelor’s degree,4.0,25-34 years old,49160.0
United States,Bachelor’s degree,8.0,35-44 years old,150000.0
Germany,Master’s degree,5.0,25-34 years old,75669.0
Brazil,Bachelor’s degree,15.0,35-44 years old,41232.0
United States,Bachelor’s degree,5.0,45-54 years old,46000.0
United States,Less than a Bachelors,22.0,45-54 years old,95162.0
United Kingdom,Master’s degree,34.0,45-54 years old,96945.0
United States,Bachelor’s degree,22.0,35-44 years old,135000.0
United States,Post grad,18.0,35-44 years old,120000.0
United States,Master’s degree,5.0,25-34 years old,90000.0
United States,Bachelor’s degree,35.0,45-54 years old,210000.0
Italy,Less than a Bachelors,15.0,35-44 years old,19452.0
United States,Master’s degree,5.0,25-34 years old,100000.0
United States,Master’s degree,5.0,35-44 years old,175000.0
France,Master’s degree,2.0,18-24 years old,45401.0
United States,Bachelor’s degree,11.0,35-44 years old,90000.0
United States,Post grad,9.0,55-64 years old,68000.0
Netherlands,Bachelor’s degree,3.0,35-44 years old,51888.0
United States,Master’s degree,14.0,35-44 years old,140000.0
Italy,Post grad,15.0,35-44 years old,129718.0
United Kingdom,Master’s degree,38.0,55-64 years old,155111.0
Brazil,Bachelor’s degree,5.0,25-34 years old,114534.0
France,Post grad,17.0,35-44 years old,55776.0
Germany,Master’s degree,5.0,25-34 years old,61616.0
Germany,Less than a Bachelors,30.0,45-54 years old,81074.0
Brazil,Master’s degree,13.0,25-34 years old,27492.0
United Kingdom,Bachelor’s degree,9.0,25-34 years old,74324.0
Brazil,Bachelor’s degree,3.0,18-24 years old,17868.0
United States,Bachelor’s degree,8.0,25-34 years old,162000.0
United Kingdom,Bachelor’s degree,28.0,55-64 years old,51704.0
United Kingdom,Post grad,3.0,25-34 years old,51704.0
United States,Bachelor’s degree,6.0,25-34 years old,85000.0
United States,Less than a Bachelors,24.0,35-44 years old,180000.0
United States,Master’s degree,24.0,45-54 years old,300000.0
Brazil,Less than a Bachelors,3.0,18-24 years old,24744.0
United States,Master’s degree,3.0,25-34 years old,110000.0
United States,Master’s degree,16.0,35-44 years old,180000.0
United States,Bachelor’s degree,0.5,25-34 years old,87000.0
United States,Less than a Bachelors,18.0,35-44 years old,200000.0
France,Master’s degree,1.0,25-34 years old,35672.0
United States,Bachelor’s degree,10.0,25-34 years old,140000.0
Australia,Bachelor’s degree,33.0,45-54 years old,100214.0
Brazil,Master’s degree,9.0,25-34 years old,20616.0
Australia,Bachelor’s degree,4.0,18-24 years old,60129.0
United States,Less than a Bachelors,26.0,45-54 years old,90000.0
Australia,Post grad,10.0,35-44 years old,257217.0
United States,Bachelor’s degree,10.0,18-24 years old,120000.0
Australia,Bachelor’s degree,3.0,18-24 years old,43426.0
Australia,Bachelor’s degree,5.0,35-44 years old,66810.0
United States,Less than a Bachelors,4.0,25-34 years old,45656.0
Australia,Bachelor’s degree,2.0,25-34 years old,40086.0
United States,Master’s degree,5.0,25-34 years old,250000.0
United States,Master’s degree,2.0,25-34 years old,210000.0
United States,Bachelor’s degree,5.0,35-44 years old,93000.0
United States,Post grad,17.0,35-44 years old,60000.0
Canada,Post grad,8.0,35-44 years old,94539.0
United States,Master’s degree,5.0,25-34 years old,112000.0
United States,Bachelor’s degree,6.0,25-34 years old,80000.0
United States,Bachelor’s degree,10.0,55-64 years old,80000.0
United States,Master’s degree,25.0,45-54 years old,120000.0
Netherlands,Less than a Bachelors,25.0,45-54 years old,54049.0
United States,Less than a Bachelors,34.0,55-64 years old,90000.0
India,Post grad,3.0,25-34 years old,36622.0
Australia,Bachelor’s degree,8.0,25-34 years old,63469.0
United States,Post grad,10.0,25-34 years old,178400.0
United Kingdom,Less than a Bachelors,10.0,65 years or older,64630.0
United States,Master’s degree,31.0,55-64 years old,144000.0
Australia,Master’s degree,5.0,35-44 years old,100214.0
United States,Master’s degree,24.0,35-44 years old,161000.0
Germany,Post grad,14.0,35-44 years old,75669.0
India,Master’s degree,5.0,18-24 years old,11724.0
Poland,Master’s degree,2.0,25-34 years old,27336.0
Germany,Post grad,8.0,25-34 years old,60427.0
India,Master’s degree,3.0,18-24 years old,11169.0
United States,Bachelor’s degree,2.0,25-34 years old,90000.0
Netherlands,Master’s degree,21.0,35-44 years old,77832.0
Germany,Master’s degree,1.0,25-34 years old,51887.0
Germany,Less than a Bachelors,2.0,18-24 years old,36324.0
France,Master’s degree,2.0,18-24 years old,37834.0
United States,Less than a Bachelors,8.0,25-34 years old,80000.0
Germany,Master’s degree,0.5,25-34 years old,31128.0
United States,Bachelor’s degree,8.0,25-34 years old,145000.0
Spain,Bachelor’s degree,2.0,25-34 years old,28105.0
India,Bachelor’s degree,2.0,18-24 years old,36300.0
Germany,Post grad,0.5,25-34 years old,54049.0
United Kingdom,Bachelor’s degree,0.5,18-24 years old,26364.0
Poland,Post grad,8.0,25-34 years old,31584.0
Netherlands,Bachelor’s degree,5.0,25-34 years old,59454.0
Poland,Master’s degree,3.0,25-34 years old,63281.0
Italy,Post grad,7.0,25-34 years old,47563.0
United Kingdom,Post grad,18.0,35-44 years old,77556.0
Germany,Bachelor’s degree,24.0,55-64 years old,51888.0
Germany,Master’s degree,14.0,35-44 years old,64859.0
United Kingdom,Bachelor’s degree,7.0,25-34 years old,81433.0
United Kingdom,Master’s degree,8.0,25-34 years old,21720.0
Netherlands,Less than a Bachelors,36.0,55-64 years old,81074.0
United States,Master’s degree,3.0,25-34 years old,85000.0
Spain,Less than a Bachelors,36.0,55-64 years old,32429.0
India,Bachelor’s degree,1.0,18-24 years old,27923.0
India,Bachelor’s degree,9.0,25-34 years old,118675.0
France,Less than a Bachelors,10.0,35-44 years old,51888.0
Switzerland,Master’s degree,5.0,25-34 years old,101649.0
Germany,Master’s degree,10.0,25-34 years old,62156.0
United Kingdom,Master’s degree,8.0,25-34 years old,71093.0
United Kingdom,Master’s degree,5.0,35-44 years old,51704.0
Switzerland,Post grad,5.0,25-34 years old,109781.0
Spain,Master’s degree,5.0,25-34 years old,37834.0
Netherlands,Bachelor’s degree,16.0,35-44 years old,162150.0
India,Post grad,3.0,35-44 years old,23460.0
United Kingdom,Bachelor’s degree,11.0,25-34 years old,71093.0
Switzerland,Master’s degree,3.0,18-24 years old,43908.0
Poland,Bachelor’s degree,12.0,35-44 years old,10332.0
Netherlands,Master’s degree,6.0,35-44 years old,62268.0
Poland,Less than a Bachelors,23.0,45-54 years old,60744.0
Italy,Post grad,35.0,45-54 years old,32424.0
Italy,Bachelor’s degree,10.0,25-34 years old,56211.0
Brazil,Bachelor’s degree,15.0,45-54 years old,38484.0
India,Bachelor’s degree,0.5,18-24 years old,32112.0
Australia,Master’s degree,30.0,55-64 years old,86853.0
Germany,Less than a Bachelors,2.0,18-24 years old,32424.0
United States,Bachelor’s degree,8.0,25-34 years old,180000.0
Netherlands,Post grad,15.0,35-44 years old,70264.0
Germany,Master’s degree,24.0,35-44 years old,91883.0
India,Bachelor’s degree,3.0,18-24 years old,16754.0
United States,Less than a Bachelors,15.0,35-44 years old,170000.0
United Kingdom,Bachelor’s degree,6.0,25-34 years old,77556.0
Canada,Bachelor’s degree,19.0,35-44 years old,105884.0
Germany,Master’s degree,17.0,35-44 years old,183750.0
Poland,Master’s degree,3.0,25-34 years old,30372.0
Poland,Post grad,15.0,35-44 years old,45564.0
Germany,Master’s degree,5.0,25-34 years old,70264.0
Germany,Post grad,11.0,35-44 years old,98369.0
India,Bachelor’s degree,7.0,25-34 years old,34904.0
Switzerland,Master’s degree,4.0,25-34 years old,101649.0
Poland,Master’s degree,10.0,25-34 years old,24300.0
Switzerland,Less than a Bachelors,1.0,18-24 years old,55907.0
Switzerland,Bachelor’s degree,8.0,25-34 years old,79284.0
India,Master’s degree,5.0,25-34 years old,27923.0
Brazil,Master’s degree,4.0,25-34 years old,16488.0
Germany,Master’s degree,5.0,25-34 years old,108098.0
Spain,Master’s degree,1.0,25-34 years old,44320.0
Germany,Less than a Bachelors,6.0,25-34 years old,58368.0
France,Master’s degree,1.0,18-24 years old,31128.0
Spain,Bachelor’s degree,12.0,35-44 years old,22704.0
Brazil,Master’s degree,5.0,25-34 years old,21996.0
Italy,Less than a Bachelors,5.0,18-24 years old,25944.0
Canada,Post grad,0.5,25-34 years old,64287.0
United Kingdom,Bachelor’s degree,22.0,45-54 years old,95006.0
Canada,Master’s degree,9.0,25-34 years old,121010.0
Spain,Master’s degree,5.0,25-34 years old,37834.0
Netherlands,Master’s degree,21.0,45-54 years old,77832.0
United States,Less than a Bachelors,11.0,25-34 years old,120000.0
India,Bachelor’s degree,2.0,18-24 years old,12566.0
Poland,Master’s degree,2.0,25-34 years old,12144.0
Switzerland,Bachelor’s degree,6.0,25-34 years old,86402.0
France,Master’s degree,9.0,25-34 years old,105400.0
Germany,Master’s degree,5.0,25-34 years old,59454.0
United Kingdom,Bachelor’s degree,4.0,18-24 years old,60752.0
United States,Bachelor’s degree,8.0,25-34 years old,88000.0
United States,Less than a Bachelors,15.0,55-64 years old,120000.0
Italy,Less than a Bachelors,36.0,45-54 years old,118908.0
Canada,Bachelor’s degree,26.0,45-54 years old,68068.0
Italy,Bachelor’s degree,2.0,18-24 years old,37834.0
United States,Master’s degree,11.0,35-44 years old,130000.0
United States,Master’s degree,6.0,25-34 years old,175000.0
United States,Bachelor’s degree,13.0,35-44 years old,105000.0
Germany,Master’s degree,17.0,35-44 years old,97288.0
France,Post grad,6.0,25-34 years old,56211.0
France,Bachelor’s degree,11.0,25-34 years old,97284.0
United Kingdom,Bachelor’s degree,8.0,25-34 years old,51702.0
United States,Bachelor’s degree,2.0,18-24 years old,56000.0
Canada,Less than a Bachelors,20.0,45-54 years old,90756.0
Brazil,Less than a Bachelors,4.0,18-24 years old,24744.0
Germany,Master’s degree,6.0,25-34 years old,64860.0
France,Master’s degree,3.0,18-24 years old,43239.0
France,Master’s degree,6.0,25-34 years old,24384.0
United States,Bachelor’s degree,6.0,25-34 years old,72000.0
Canada,Bachelor’s degree,13.0,25-34 years old,113447.0
Germany,Bachelor’s degree,4.0,25-34 years old,64859.0
Italy,Less than a Bachelors,10.0,25-34 years old,47563.0
Italy,Master’s degree,6.0,25-34 years old,12972.0
Germany,Less than a Bachelors,16.0,45-54 years old,62268.0
United States,Post grad,20.0,45-54 years old,50000.0
United States,Bachelor’s degree,9.0,25-34 years old,99000.0
Switzerland,Master’s degree,15.0,35-44 years old,127061.0
United States,Bachelor’s degree,2.0,18-24 years old,42651.0
United States,Bachelor’s degree,5.0,25-34 years old,88000.0
